matrix,rows,cols,density_pct,nnz,threads,configuration,bind_policy,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"15k_0p41.mtx",15449,15449,0.8089,1930655,48,"Dynamic+SIMD+spread","spread",0.18,138.89,289.34,0.0,0.00,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,48,"Static+SIMD+close","close",9.04,2.73,5.68,0.0,-4993.49,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,48,"Static+SIMD+spread","spread",24.66,1.00,2.08,0.0,-13788.54,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,72,"Dynamic+SIMD+spread","spread",0.37,1.21,1.68,0.0,0.00,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,72,"Static+SIMD+close","close",0.41,1.09,1.52,0.0,-10.70,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,72,"Static+SIMD+spread","spread",0.44,1.00,1.39,0.0,-20.77,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,96,"Dynamic+SIMD+spread","spread",0.48,1.19,1.24,0.0,0.00,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,96,"Static+SIMD+close","close",0.48,1.19,1.24,0.0,-0.03,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,96,"Static+SIMD+spread","spread",0.57,1.00,1.04,0.0,-19.46,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,24,"Dynamic+SIMD+spread","spread",0.39,1.12,4.65,0.0,0.00,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,24,"Static+SIMD+close","close",0.42,1.02,4.26,0.0,-9.24,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,24,"Static+SIMD+spread","spread",0.43,1.00,4.17,0.0,-11.59,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,48,"Static+SIMD+spread","spread",25.66,1.01,2.11,0.0,0.00,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,48,"Dynamic+SIMD+spread","spread",26.00,1.00,2.08,0.0,-1.29,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,48,"Static+SIMD+close","close",26.00,1.00,2.08,0.0,-1.30,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,72,"Dynamic+SIMD+spread","spread",0.57,1.36,1.90,0.0,0.00,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,72,"Static+SIMD+close","close",0.71,1.09,1.52,0.0,-25.00,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,72,"Static+SIMD+spread","spread",0.77,1.00,1.39,0.0,-36.47,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,96,"Dynamic+SIMD+spread","spread",0.60,1.21,1.26,0.0,0.00,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,96,"Static+SIMD+close","close",0.68,1.07,1.12,0.0,-12.47,0,""
"20k_0p38.mtx",20374,20374,0.3867,1605237,96,"Static+SIMD+spread","spread",0.73,1.00,1.04,0.0,-20.80,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,24,"Static+SIMD+close","close",0.02,4.45,18.54,0.0,0.00,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,24,"Static+SIMD+spread","spread",0.03,2.47,10.29,0.0,-80.26,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,24,"Dynamic+SIMD+spread","spread",0.08,1.00,4.17,0.0,-345.03,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,48,"Dynamic+SIMD+spread","spread",25.55,1.02,2.12,0.0,0.00,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,48,"Static+SIMD+close","close",25.95,1.00,2.09,0.0,-1.58,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,48,"Static+SIMD+spread","spread",26.00,1.00,2.08,0.0,-1.76,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,72,"Static+SIMD+close","close",0.27,1.17,1.63,0.0,0.00,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,72,"Static+SIMD+spread","spread",0.30,1.03,1.44,0.0,-13.57,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,72,"Dynamic+SIMD+spread","spread",0.31,1.00,1.39,0.0,-17.47,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,96,"Static+SIMD+close","close",0.37,1.10,1.15,0.0,0.00,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,96,"Static+SIMD+spread","spread",0.37,1.08,1.13,0.0,-1.82,0,""
"25k_0p03.mtx",25228,25228,0.0275,175027,96,"Dynamic+SIMD+spread","spread",0.41,1.00,1.04,0.0,-10.37,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,24,"Static+SIMD+close","close",0.01,2.13,8.86,0.0,0.00,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,24,"Static+SIMD+spread","spread",0.01,2.07,8.62,0.0,-2.81,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,24,"Dynamic+SIMD+spread","spread",0.03,1.00,4.17,0.0,-112.63,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,48,"Static+SIMD+spread","spread",26.00,1.02,2.12,0.0,0.00,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,48,"Dynamic+SIMD+spread","spread",26.40,1.00,2.08,0.0,-1.54,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,48,"Static+SIMD+close","close",26.40,1.00,2.08,0.0,-1.55,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,72,"Static+SIMD+spread","spread",0.24,1.03,1.43,0.0,0.00,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,72,"Dynamic+SIMD+spread","spread",0.24,1.01,1.40,0.0,-1.69,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,72,"Static+SIMD+close","close",0.24,1.00,1.39,0.0,-2.69,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,96,"Static+SIMD+close","close",0.30,1.18,1.23,0.0,0.00,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,96,"Dynamic+SIMD+spread","spread",0.32,1.11,1.15,0.0,-6.82,0,""
"2k_0p22.mtx",1624,1624,0.2294,6050,96,"Static+SIMD+spread","spread",0.35,1.00,1.04,0.0,-18.24,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,24,"Static+SIMD+close","close",0.02,1.94,8.08,0.0,0.00,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,24,"Static+SIMD+spread","spread",0.03,1.84,7.67,0.0,-5.42,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,24,"Dynamic+SIMD+spread","spread",0.05,1.00,4.17,0.0,-94.03,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,48,"Static+SIMD+close","close",24.78,1.05,2.19,0.0,0.00,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,48,"Static+SIMD+spread","spread",25.84,1.01,2.10,0.0,-4.28,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,48,"Dynamic+SIMD+spread","spread",26.00,1.00,2.08,0.0,-4.93,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,72,"Dynamic+SIMD+spread","spread",0.26,1.09,1.52,0.0,0.00,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,72,"Static+SIMD+close","close",0.27,1.05,1.46,0.0,-3.92,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,72,"Static+SIMD+spread","spread",0.28,1.00,1.39,0.0,-9.43,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,96,"Static+SIMD+spread","spread",0.33,1.03,1.07,0.0,0.00,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,96,"Dynamic+SIMD+spread","spread",0.34,1.01,1.05,0.0,-1.40,0,""
"2k_0p52.mtx",2003,2003,0.5469,21943,96,"Static+SIMD+close","close",0.34,1.00,1.04,0.0,-2.57,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,24,"Static+SIMD+close","close",0.03,3.04,12.65,0.0,0.00,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,24,"Static+SIMD+spread","spread",0.04,2.90,12.08,0.0,-4.73,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,24,"Dynamic+SIMD+spread","spread",0.10,1.00,4.17,0.0,-203.67,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,48,"Dynamic+SIMD+spread","spread",23.06,1.13,2.35,0.0,0.00,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,48,"Static+SIMD+close","close",24.67,1.05,2.20,0.0,-6.98,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,48,"Static+SIMD+spread","spread",26.00,1.00,2.08,0.0,-12.75,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,72,"Static+SIMD+close","close",0.28,1.13,1.57,0.0,0.00,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,72,"Static+SIMD+spread","spread",0.31,1.01,1.41,0.0,-11.53,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,72,"Dynamic+SIMD+spread","spread",0.32,1.00,1.39,0.0,-12.96,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,96,"Static+SIMD+close","close",0.40,1.26,1.32,0.0,0.00,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,96,"Dynamic+SIMD+spread","spread",0.40,1.26,1.31,0.0,-0.16,0,""
"30k_0p05.mtx",30401,30401,0.0510,471601,96,"Static+SIMD+spread","spread",0.51,1.00,1.04,0.0,-26.28,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,24,"Static+SIMD+spread","spread",0.04,3.53,14.72,0.0,0.00,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,24,"Static+SIMD+close","close",0.04,3.45,14.36,0.0,-2.49,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,24,"Dynamic+SIMD+spread","spread",0.13,1.00,4.17,0.0,-253.26,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,48,"Dynamic+SIMD+spread","spread",25.11,1.06,2.21,0.0,0.00,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,48,"Static+SIMD+spread","spread",26.00,1.03,2.14,0.0,-3.53,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,48,"Static+SIMD+close","close",26.66,1.00,2.08,0.0,-6.18,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,72,"Static+SIMD+close","close",0.32,1.21,1.68,0.0,0.00,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,72,"Static+SIMD+spread","spread",0.39,1.01,1.40,0.0,-19.99,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,72,"Dynamic+SIMD+spread","spread",0.39,1.00,1.39,0.0,-21.18,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,96,"Static+SIMD+close","close",0.34,1.28,1.33,0.0,0.00,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,96,"Dynamic+SIMD+spread","spread",0.38,1.14,1.19,0.0,-12.39,0,""
"40k_0p02.mtx",40421,40421,0.0215,351386,96,"Static+SIMD+spread","spread",0.44,1.00,1.04,0.0,-27.89,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,24,"Static+SIMD+close","close",0.03,5.62,23.41,0.0,0.00,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,24,"Static+SIMD+spread","spread",0.03,4.92,20.50,0.0,-14.20,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,24,"Dynamic+SIMD+spread","spread",0.15,1.00,4.17,0.0,-461.93,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,48,"Static+SIMD+close","close",24.89,1.04,2.18,0.0,0.00,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,48,"Static+SIMD+spread","spread",25.78,1.01,2.10,0.0,-3.57,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,48,"Dynamic+SIMD+spread","spread",26.00,1.00,2.08,0.0,-4.46,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,72,"Static+SIMD+spread","spread",0.30,1.18,1.64,0.0,0.00,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,72,"Static+SIMD+close","close",0.33,1.05,1.46,0.0,-12.49,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,72,"Dynamic+SIMD+spread","spread",0.35,1.00,1.39,0.0,-18.31,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,96,"Static+SIMD+close","close",0.44,1.13,1.18,0.0,0.00,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,96,"Dynamic+SIMD+spread","spread",0.47,1.07,1.11,0.0,-5.99,0,""
"50k_0p008.mtx",50000,50000,-0.0195,349968,96,"Static+SIMD+spread","spread",0.50,1.00,1.04,0.0,-13.15,0,""
