Matrix,Threads,Config,Optimization,Time_ms,Speedup_vs_Serial,Speedup_vs_Phase1,Improvement_Percent
40k_0p02.mtx,8,RegBlock4 + Prefetch8,Combined,0.0988,20900.1,-5.88,-5.88
40k_0p02.mtx,8,RegBlock4 + Prefetch16,Combined,0.0960,21518.2,-2.84,-2.84
40k_0p02.mtx,8,RegBlock8 + Prefetch8,Combined,0.0974,21205.8,-4.35,-4.35
40k_0p02.mtx,16,RegBlock-8 + Baseline,Baseline,0.0526,39670.1,-8.33,-8.33
40k_0p02.mtx,16,Prefetch-8 + Baseline,Baseline,0.0600,34769.9,-23.60,-23.60
40k_0p02.mtx,16,Prefetch-16 + Baseline,Baseline,0.0546,38175.6,-12.58,-12.58
40k_0p02.mtx,24,RegBlock-4 + Baseline,Baseline,0.0318,65634.2,13.70,+13.70
40k_0p02.mtx,24,RegBlock-8 + Baseline,Baseline,0.0376,55584.7,-1.90,-1.90
40k_0p02.mtx,24,Prefetch-8 + Baseline,Baseline,0.0426,49095.0,-15.37,-15.37
40k_0p02.mtx,24,Prefetch-16 + Baseline,Baseline,0.0408,51252.0,-10.51,-10.51
5k_9p37.mtx,2,RegBlock-4 + Baseline,Baseline,0.8322,39.2,46.44,+46.44
5k_9p37.mtx,2,RegBlock-8 + Baseline,Baseline,0.8452,38.6,45.60,+45.60
5k_9p37.mtx,2,Prefetch-8 + Baseline,Baseline,1.5908,20.5,-2.39,-2.39
5k_9p37.mtx,2,Prefetch-16 + Baseline,Baseline,1.5804,20.7,-1.71,-1.71
5k_9p37.mtx,2,RegBlock4 + Prefetch8,Combined,1.2201,26.8,21.47,+21.47
5k_9p37.mtx,2,RegBlock4 + Prefetch16,Combined,1.2208,26.7,21.43,+21.43
5k_9p37.mtx,2,RegBlock8 + Prefetch8,Combined,1.2641,25.8,18.64,+18.64
5k_9p37.mtx,4,RegBlock-4 + Baseline,Baseline,0.4364,82.2,47.11,+47.11
5k_9p37.mtx,4,RegBlock-8 + Baseline,Baseline,0.4399,81.6,46.70,+46.70
5k_9p37.mtx,4,Prefetch-8 + Baseline,Baseline,0.8416,42.6,-1.99,-1.99
5k_9p37.mtx,4,Prefetch-16 + Baseline,Baseline,0.8382,42.8,-1.57,-1.57
5k_9p37.mtx,4,RegBlock4 + Prefetch8,Combined,0.4821,74.4,41.59,+41.59
5k_9p37.mtx,4,RegBlock4 + Prefetch16,Combined,0.4783,75.0,42.05,+42.05
5k_9p37.mtx,4,RegBlock8 + Prefetch8,Combined,0.4551,78.8,44.85,+44.85
5k_9p37.mtx,8,RegBlock-4 + Baseline,Baseline,0.2599,143.4,45.21,+45.21
5k_9p37.mtx,8,RegBlock-8 + Baseline,Baseline,0.2674,139.4,43.64,+43.64
5k_9p37.mtx,8,Prefetch-8 + Baseline,Baseline,0.4816,77.4,-1.51,-1.51
5k_9p37.mtx,8,Prefetch-16 + Baseline,Baseline,0.4792,77.8,-1.01,-1.01
5k_9p37.mtx,8,RegBlock4 + Prefetch8,Combined,0.2833,131.6,40.27,+40.27
5k_9p37.mtx,8,RegBlock4 + Prefetch16,Combined,0.2856,130.5,39.79,+39.79
5k_9p37.mtx,8,RegBlock8 + Prefetch8,Combined,0.2737,136.2,42.32,+42.32
5k_9p37.mtx,16,RegBlock-4 + Baseline,Baseline,0.2034,169.5,36.17,+36.17
5k_9p37.mtx,16,RegBlock-8 + Baseline,Baseline,0.1981,173.9,37.81,+37.81
5k_9p37.mtx,16,Prefetch-8 + Baseline,Baseline,0.3242,106.3,-1.75,-1.75
5k_9p37.mtx,16,Prefetch-16 + Baseline,Baseline,0.3229,106.7,-1.35,-1.35
5k_9p37.mtx,16,RegBlock4 + Prefetch8,Combined,0.2162,159.4,32.13,+32.13
5k_9p37.mtx,16,RegBlock4 + Prefetch16,Combined,0.2198,156.8,31.02,+31.02
5k_9p37.mtx,16,RegBlock8 + Prefetch8,Combined,0.2081,165.6,34.69,+34.69
5k_9p37.mtx,24,RegBlock-4 + Baseline,Baseline,0.3224,116.2,17.85,+17.85
5k_9p37.mtx,24,RegBlock-8 + Baseline,Baseline,0.3226,116.1,17.81,+17.81
5k_9p37.mtx,24,Prefetch-8 + Baseline,Baseline,0.3959,94.6,-0.87,-0.87
5k_9p37.mtx,24,Prefetch-16 + Baseline,Baseline,0.4084,91.7,-4.06,-4.06
5k_9p37.mtx,24,RegBlock4 + Prefetch8,Combined,0.3304,113.4,15.82,+15.82
5k_9p37.mtx,24,RegBlock4 + Prefetch16,Combined,0.3196,117.2,18.57,+18.57
5k_9p37.mtx,24,RegBlock8 + Prefetch8,Combined,0.3259,115.0,16.97,+16.97
6k_6p3.mtx,2,RegBlock-4 + Baseline,Baseline,0.6676,67.5,52.55,+52.55
6k_6p3.mtx,2,RegBlock-8 + Baseline,Baseline,0.6728,67.0,52.18,+52.18
6k_6p3.mtx,2,Prefetch-8 + Baseline,Baseline,1.4253,31.6,-1.30,-1.30
6k_6p3.mtx,2,Prefetch-16 + Baseline,Baseline,1.4162,31.8,-0.65,-0.65
6k_6p3.mtx,2,RegBlock4 + Prefetch8,Combined,0.7485,60.2,46.81,+46.81
6k_6p3.mtx,2,RegBlock4 + Prefetch16,Combined,0.7438,60.6,47.14,+47.14
6k_6p3.mtx,2,RegBlock8 + Prefetch8,Combined,0.6986,64.5,50.35,+50.35
6k_6p3.mtx,4,RegBlock-4 + Baseline,Baseline,0.3397,136.5,52.60,+52.60
6k_6p3.mtx,4,RegBlock-8 + Baseline,Baseline,0.3405,136.2,52.50,+52.50
6k_6p3.mtx,4,Prefetch-8 + Baseline,Baseline,0.7210,64.3,-0.61,-0.61
6k_6p3.mtx,4,Prefetch-16 + Baseline,Baseline,0.7175,64.6,-0.11,-0.11
6k_6p3.mtx,4,RegBlock4 + Prefetch8,Combined,0.3804,121.9,46.92,+46.92
6k_6p3.mtx,4,RegBlock4 + Prefetch16,Combined,0.3776,122.8,47.31,+47.31
6k_6p3.mtx,4,RegBlock8 + Prefetch8,Combined,0.3570,129.9,50.18,+50.18
6k_6p3.mtx,8,RegBlock-4 + Baseline,Baseline,0.1742,274.6,52.05,+52.05
6k_6p3.mtx,8,RegBlock-8 + Baseline,Baseline,0.1753,273.0,51.76,+51.76
6k_6p3.mtx,8,Prefetch-8 + Baseline,Baseline,0.3645,131.3,-0.31,-0.31
6k_6p3.mtx,8,RegBlock4 + Prefetch8,Combined,0.1944,246.1,46.49,+46.49
6k_6p3.mtx,8,RegBlock4 + Prefetch16,Combined,0.1939,246.8,46.65,+46.65
6k_6p3.mtx,8,RegBlock8 + Prefetch8,Combined,0.1830,261.5,49.65,+49.65
6k_6p3.mtx,16,RegBlock-4 + Baseline,Baseline,0.0888,535.6,52.75,+52.75
6k_6p3.mtx,16,RegBlock-8 + Baseline,Baseline,0.0888,535.6,52.74,+52.74
6k_6p3.mtx,16,RegBlock4 + Prefetch8,Combined,0.1009,471.3,46.30,+46.30
6k_6p3.mtx,16,RegBlock4 + Prefetch16,Combined,0.0999,475.7,46.80,+46.80
6k_6p3.mtx,16,RegBlock8 + Prefetch8,Combined,0.0948,501.3,49.51,+49.51
6k_6p3.mtx,24,RegBlock-4 + Baseline,Baseline,0.0610,790.2,52.98,+52.98
6k_6p3.mtx,24,RegBlock-8 + Baseline,Baseline,0.0621,776.3,52.13,+52.13
6k_6p3.mtx,24,Prefetch-16 + Baseline,Baseline,0.1300,370.8,-0.21,-0.21
6k_6p3.mtx,24,RegBlock4 + Prefetch8,Combined,0.0701,687.8,45.97,+45.97
6k_6p3.mtx,24,RegBlock4 + Prefetch16,Combined,0.0697,691.1,46.23,+46.23
6k_6p3.mtx,24,RegBlock8 + Prefetch8,Combined,0.0651,739.8,49.77,+49.77
9k_0p77.mtx,2,RegBlock-4 + Baseline,Baseline,0.1927,490.4,38.56,+38.56
9k_0p77.mtx,2,RegBlock-8 + Baseline,Baseline,0.2036,464.3,35.10,+35.10
9k_0p77.mtx,2,Prefetch-8 + Baseline,Baseline,0.3669,257.6,-16.95,-16.95
9k_0p77.mtx,2,Prefetch-16 + Baseline,Baseline,0.3509,269.4,-11.85,-11.85
9k_0p77.mtx,2,RegBlock4 + Prefetch8,Combined,0.2169,435.9,30.87,+30.87
9k_0p77.mtx,2,RegBlock4 + Prefetch16,Combined,0.2130,443.8,32.11,+32.11
9k_0p77.mtx,2,RegBlock8 + Prefetch8,Combined,0.2122,445.4,32.35,+32.35
9k_0p77.mtx,4,RegBlock-4 + Baseline,Baseline,0.1023,932.0,38.61,+38.61
9k_0p77.mtx,4,RegBlock-8 + Baseline,Baseline,0.1077,884.9,35.34,+35.34
9k_0p77.mtx,4,Prefetch-8 + Baseline,Baseline,0.1907,500.0,-14.44,-14.44
9k_0p77.mtx,4,Prefetch-16 + Baseline,Baseline,0.1832,520.3,-9.97,-9.97
9k_0p77.mtx,4,RegBlock4 + Prefetch8,Combined,0.1144,832.9,31.30,+31.30
9k_0p77.mtx,4,RegBlock4 + Prefetch16,Combined,0.1117,853.1,32.93,+32.93
9k_0p77.mtx,4,RegBlock8 + Prefetch8,Combined,0.1124,847.9,32.51,+32.51
9k_0p77.mtx,8,RegBlock-4 + Baseline,Baseline,0.0559,1714.4,36.94,+36.94
9k_0p77.mtx,8,RegBlock-8 + Baseline,Baseline,0.0580,1652.5,34.58,+34.58
9k_0p77.mtx,8,Prefetch-8 + Baseline,Baseline,0.1016,943.3,-14.60,-14.60
9k_0p77.mtx,8,Prefetch-16 + Baseline,Baseline,0.0987,971.0,-11.33,-11.33
9k_0p77.mtx,8,RegBlock4 + Prefetch8,Combined,0.0630,1520.7,28.91,+28.91
9k_0p77.mtx,8,RegBlock4 + Prefetch16,Combined,0.0618,1551.3,30.31,+30.31
9k_0p77.mtx,8,RegBlock8 + Prefetch8,Combined,0.0611,1569.0,31.10,+31.10
9k_0p77.mtx,16,Prefetch-8 + Baseline,Baseline,0.0960,1043.0,-36.27,-36.27
9k_0p77.mtx,16,Prefetch-16 + Baseline,Baseline,0.1004,996.9,-42.58,-42.58
9k_0p77.mtx,16,RegBlock4 + Prefetch8,Combined,0.0816,1227.3,-15.81,-15.81
9k_0p77.mtx,16,RegBlock4 + Prefetch16,Combined,0.0743,1347.8,-5.45,-5.45
9k_0p77.mtx,24,RegBlock-4 + Baseline,Baseline,0.0382,2511.6,17.18,+17.18
9k_0p77.mtx,24,RegBlock-8 + Baseline,Baseline,0.0520,1842.3,-12.91,-12.91
9k_0p77.mtx,24,Prefetch-8 + Baseline,Baseline,0.0786,1219.7,-70.54,-70.54
9k_0p77.mtx,24,Prefetch-16 + Baseline,Baseline,0.0761,1258.9,-65.22,-65.22
9k_0p77.mtx,24,RegBlock4 + Prefetch8,Combined,0.0485,1977.1,-5.21,-5.21
9k_0p77.mtx,24,RegBlock4 + Prefetch16,Combined,0.0546,1755.4,-18.50,-18.50
9k_0p77.mtx,24,RegBlock8 + Prefetch8,Combined,0.0551,1738.2,-19.67,-19.67
