matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD, chunk=8",0.070,2044.63,8519.3,0.001,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD, chunk=16",0.070,2051.42,8547.6,0.001,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD, chunk=32",0.069,2087.52,8698.0,0.001,99.64,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Static+SIMD+Affinity,",0.072,1976.00,8233.3,0.003,99.62,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Static+SIMD+Affinity,",0.071,2008.02,8366.7,0.002,99.62,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD+Affinity,",0.070,2045.44,8522.7,0.002,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD+Register,",0.068,2111.07,8796.1,0.001,99.64,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD+Register,",0.069,2071.92,8633.0,0.002,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Static+SIMD+Register,",0.068,2114.87,8812.0,0.003,99.64,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Static+SIMD+Register,",0.067,2122.33,8843.0,0.001,99.64,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Task-based+SIMD",43.747,3.27,13.6,1.087,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Guided+SIMD+Align+Affin,",0.070,2056.26,8567.8,0.001,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,8,"Static+SIMD+Align+Affin,",0.076,1881.77,7840.7,0.003,99.60,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static (default)",145.974,2.17,9.0,0.199,0.00,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static, chunk=8",146.727,2.16,9.0,0.752,,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static, chunk=32",146.243,2.17,9.0,0.267,,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic, chunk=8",146.725,2.16,9.0,0.457,,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic, chunk=16",146.613,2.16,9.0,0.535,,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic, chunk=32",146.647,2.16,9.0,0.569,,0,""
