matrix,rows,cols,density_pct,threads,speedup_x,serial_ms,parallel_ms,exit_code,notes
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,8,7.56,46.329546,6.125899,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,12,10.99,45.550169,4.145826,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,16,14.92,48.687009,3.263227,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,18,16.04,46.786398,2.917586,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,20,17.51,46.759606,2.670777,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,22,19.03,46.767383,2.458008,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,24,20.81,47.362306,2.275907,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,2,1.99,96.952761,48.804901,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,4,3.88,97.341616,25.095970,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,8,7.65,97.325166,12.728920,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,12,11.53,100.476954,8.714677,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,16,14.48,95.714530,6.608027,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,18,16.48,97.510205,5.915618,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,20,17.82,96.139871,5.396465,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,22,21.56,106.418073,4.936302,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,24,17.26,101.520709,5.882083,0,""
