matrix,rows,cols,density_pct,threads,speedup_x,serial_ms,parallel_ms,exit_code,notes
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,2,39.71,41.247663,1.038641,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,4,47.56,41.217488,0.866707,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,8,72.28,42.044483,0.581702,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,12,87.67,41.357744,0.471741,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,16,109.62,41.589675,0.379411,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,18,104.90,41.478247,0.395399,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,20,108.53,41.801091,0.385157,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,22,103.93,41.577297,0.400069,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,24,129.60,41.606400,0.321040,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,2,153.98,87.382339,0.567502,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,4,219.75,87.432824,0.397879,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,8,330.79,88.057133,0.266199,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,12,396.04,87.395422,0.220673,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,16,432.36,87.893991,0.203287,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,18,442.29,88.362003,0.199784,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,20,457.66,87.850309,0.191956,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,22,456.69,87.896333,0.192464,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,24,465.70,88.360330,0.189737,0,""
