matrix,rows,cols,density_pct,nnz,threads,configuration,bind_policy,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Static+SIMD+Affinity+spread","spread",10.10,1.82,3.80,0.0,-1.35,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Static+SIMD+spread","spread",11.43,1.61,3.36,0.0,-14.68,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Guided+SIMD+spread, chunk=32","spread",12.05,1.53,3.19,0.0,-20.91,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Dynamic+SIMD+spread, chunk=16","spread",17.42,1.06,2.20,0.0,-74.78,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Dynamic+SIMD+spread, chunk=32","spread",18.40,1.00,2.09,0.0,-84.67,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Guided+SIMD+spread, chunk=16","spread",18.43,1.00,2.08,0.0,-84.90,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Static+SIMD+Affinity+spread","spread",0.05,5.83,8.10,0.0,+0.00,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Static+SIMD+Register+spread","spread",0.05,5.69,7.90,0.0,-2.58,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Static+SIMD+spread","spread",0.05,5.15,7.15,0.0,-13.33,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Dynamic+SIMD+spread, chunk=32","spread",0.09,2.93,4.07,0.0,-98.94,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Dynamic+SIMD+spread, chunk=16","spread",0.13,2.05,2.85,0.0,-183.97,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Guided+SIMD+spread, chunk=32","spread",0.21,1.26,1.76,0.0,-361.14,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Guided+SIMD+spread, chunk=16","spread",0.27,1.00,1.39,0.0,-483.33,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Dynamic+SIMD+spread, chunk=32","spread",8.99,1.08,1.12,0.0,+0.00,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Guided+SIMD+spread, chunk=16","spread",9.05,1.07,1.12,0.0,-0.65,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Guided+SIMD+spread, chunk=32","spread",9.18,1.06,1.10,0.0,-2.05,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Static+SIMD+Affinity+spread","spread",9.18,1.06,1.10,0.0,-2.11,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Static+SIMD+spread","spread",9.48,1.02,1.07,0.0,-5.37,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Dynamic+SIMD+spread, chunk=16","spread",9.51,1.02,1.06,0.0,-5.75,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Static+SIMD+Register+spread","spread",9.70,1.00,1.04,0.0,-7.89,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Static+SIMD+Register+spread","spread",0.07,1.68,7.02,0.0,+0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Static+SIMD+Affinity+spread","spread",0.08,1.66,6.91,0.0,-1.59,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Static+SIMD+spread","spread",0.08,1.63,6.79,0.0,-3.30,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Dynamic+SIMD+spread, chunk=32","spread",0.10,1.29,5.40,0.0,-30.03,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Guided+SIMD+spread, chunk=32","spread",0.10,1.26,5.23,0.0,-34.08,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Guided+SIMD+spread, chunk=16","spread",0.11,1.13,4.71,0.0,-49.03,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Dynamic+SIMD+spread, chunk=16","spread",0.13,1.00,4.17,0.0,-68.39,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Static+SIMD+spread","spread",18.48,2.26,4.71,0.0,+0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Dynamic+SIMD+spread, chunk=16","spread",19.32,2.16,4.50,0.0,-4.58,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Guided+SIMD+spread, chunk=32","spread",20.00,2.09,4.35,0.0,-8.21,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Dynamic+SIMD+spread, chunk=32","spread",20.04,2.08,4.34,0.0,-8.47,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Guided+SIMD+spread, chunk=16","spread",20.05,2.08,4.34,0.0,-8.49,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Static+SIMD+Register+spread","spread",23.20,1.80,3.75,0.0,-25.53,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Static+SIMD+Affinity+spread","spread",41.74,1.00,2.08,0.0,-125.91,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Dynamic+SIMD+spread, chunk=16","spread",17.54,1.66,2.30,0.0,+0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Guided+SIMD+spread, chunk=16","spread",17.63,1.65,2.29,0.0,-0.51,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Dynamic+SIMD+spread, chunk=32","spread",19.28,1.51,2.10,0.0,-9.92,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Static+SIMD+spread","spread",19.91,1.46,2.03,0.0,-13.50,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Guided+SIMD+spread, chunk=32","spread",26.09,1.12,1.55,0.0,-48.73,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Static+SIMD+Register+spread","spread",27.62,1.05,1.46,0.0,-57.46,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Static+SIMD+Affinity+spread","spread",29.09,1.00,1.39,0.0,-65.84,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Static+SIMD+spread","spread",26.38,1.86,1.94,0.0,+0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Guided+SIMD+spread, chunk=16","spread",27.35,1.80,1.87,0.0,-3.69,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Static+SIMD+Affinity+spread","spread",29.83,1.65,1.72,0.0,-13.07,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Static+SIMD+Register+spread","spread",32.56,1.51,1.57,0.0,-23.44,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Dynamic+SIMD+spread, chunk=16","spread",35.45,1.39,1.44,0.0,-34.37,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Guided+SIMD+spread, chunk=32","spread",39.78,1.24,1.29,0.0,-50.80,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Dynamic+SIMD+spread, chunk=32","spread",49.14,1.00,1.04,0.0,-86.30,0,""
