num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,imbalance,iterations,notes
4,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,ROW-BASED,2556.1040,0.0000,2348.0244,2727.9508,2554.3330,1.7700,1.0000,25.00,1.251,10,""
4,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,NNZ-BASED,2552.1080,0.0000,2456.0106,2759.9883,2550.4174,1.6898,1.0016,25.04,1.251,10,""
8,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,ROW-BASED,2663.8143,0.0000,2494.0133,2823.9925,2656.5270,7.2866,1.0000,12.50,1.252,10,""
8,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,NNZ-BASED,2618.6767,0.0000,2399.9908,2808.0277,2614.5200,4.1560,1.0172,12.72,1.252,10,""
16,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,ROW-BASED,4976.0981,0.0000,4808.3050,5120.0230,4975.8477,0.2496,1.0000,6.25,1.252,10,""
16,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,NNZ-BASED,5074.8528,0.0000,4992.0840,5188.0605,5074.6201,0.2321,0.9805,6.13,1.252,10,""
32,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,ROW-BASED,4457.8510,0.0000,4258.0857,4612.1624,4457.6948,0.1554,1.0000,3.12,1.254,10,""
32,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,NNZ-BASED,4327.1954,0.0000,4164.5677,4540.0288,4327.0694,0.1255,1.0302,3.22,1.254,10,""
64,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,ROW-BASED,7376.4438,0.0000,7258.0976,7494.9203,7376.3432,0.0999,1.0000,1.56,1.259,10,""
64,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,NNZ-BASED,7328.6490,0.0000,6988.1372,7814.9009,7328.5698,0.0787,1.0065,1.57,1.259,10,""
128,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,ROW-BASED,28173.0603,0.0000,27566.7505,28684.0358,28172.9828,0.0769,1.0000,0.78,1.260,10,""
128,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,NNZ-BASED,28081.5779,0.0000,27660.0213,28940.7015,28081.5194,0.0580,1.0033,0.78,1.260,10,""
2,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,897.3991,0.0000,882.9002,909.1678,889.8196,7.5788,1.0000,50.00,1.008,10,""
2,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,896.0990,0.0000,882.9954,909.0052,888.4538,7.6447,1.0015,50.07,1.008,10,""
4,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,1534.3292,0.0000,1462.9960,1627.9948,1530.5960,3.7326,1.0000,25.00,1.012,10,""
4,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,1561.3966,0.0000,1439.0275,1652.9992,1557.7600,3.6361,0.9827,24.57,1.012,10,""
8,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,1896.3274,0.0000,1789.1958,1980.0270,1894.4700,1.8569,1.0000,12.50,1.018,10,""
8,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,1865.2478,0.0000,1728.1592,2020.0374,1863.0277,2.2196,1.0167,12.71,1.018,10,""
16,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,4470.6466,0.0000,4418.0348,4550.1006,4456.6763,13.9696,1.0000,6.25,1.022,10,""
16,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,4604.2628,0.0000,4486.0418,4673.9964,4596.9713,7.2909,0.9710,6.07,1.022,10,""
32,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,6146.8965,0.0000,4219.9829,7232.4653,6146.1969,0.6987,1.0000,3.12,1.026,10,""
32,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,7091.6426,0.0000,6910.3897,7296.3471,7091.1013,0.5407,0.8668,2.71,1.026,10,""
64,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,6803.0397,0.0000,6658.0453,7182.1811,6802.7714,0.2674,1.0000,1.56,1.027,10,""
64,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,6752.4724,0.0000,6569.2058,6968.0405,6752.1915,0.2802,1.0075,1.57,1.027,10,""
128,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,ROW-BASED,8588.8601,0.0000,8053.0167,9252.2142,8588.6985,0.1605,1.0000,0.78,1.028,10,""
128,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,NNZ-BASED,8474.6258,0.0000,8177.2289,9016.0391,8474.4781,0.1470,1.0135,0.79,1.028,10,""
2,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,ROW-BASED,1002.8977,0.0000,986.9895,1013.9863,974.3423,28.5545,1.0000,50.00,1.006,10,""
2,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,NNZ-BASED,1005.2983,0.0000,986.9893,1013.0522,977.8115,27.4860,0.9976,49.88,1.006,10,""
4,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,ROW-BASED,1678.6330,0.0000,1599.9935,1786.0060,1650.3834,28.2489,1.0000,25.00,1.013,10,""
4,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,NNZ-BASED,1687.3986,0.0000,1543.9916,1762.0120,1659.8630,27.5348,0.9948,24.87,1.013,10,""
8,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,ROW-BASED,1898.4341,0.0000,1728.0607,2039.0551,1883.5145,14.9188,1.0000,12.50,1.016,10,""
8,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,NNZ-BASED,1889.6657,0.0000,1820.1351,2052.1240,1885.9603,3.7048,1.0046,12.56,1.016,10,""
16,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,ROW-BASED,4550.2026,0.0000,4420.0420,4868.0117,4548.2494,1.9524,1.0000,6.25,1.016,10,""
16,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,NNZ-BASED,4535.4498,0.0000,4383.0285,4688.0407,4533.6709,1.7782,1.0033,6.27,1.016,10,""
32,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,ROW-BASED,4247.4137,0.0000,4092.0727,4524.9834,4240.1901,7.2227,1.0000,3.12,1.028,10,""
32,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,NNZ-BASED,4049.3866,0.0000,3965.4992,4224.8909,4048.3712,1.0147,1.0489,3.28,1.028,10,""
