config,num_nodes,avg_speedup,speedup_std,avg_efficiency,avg_time_ms,num_samples
Allgather,1,1.0,0.0,100.0,0.22267272727272724,11
Allgather,2,1.6886183088640436,1.043962337192134,84.4309154432022,0.35409090909090907,11
Allgather,3,2.7792016361163863,1.1742464590725623,92.64005453721288,0.16256363636363635,11
Allgather,4,3.310011776206755,1.359349278234382,82.75029440516889,0.11897272727272724,11
Allgather,5,2.780629348162886,0.9044342529588097,55.61258696325773,0.1061727272727273,11
Allgather,6,3.264882575230533,1.5771139242233931,54.41470958717555,0.08007272727272727,11
Allgather,7,3.3867420212067887,0.7989153831445429,48.38202887438269,0.0809909090909091,11
Allgather,8,4.073674485293661,1.077792443788334,50.920931066170766,0.056818181818181816,11
Async_Collectives,1,1.0,0.0,100.0,0.2224545454545455,11
Async_Collectives,2,1.6249047028430192,0.767932093818998,81.24523514215097,0.3377090909090909,11
Async_Collectives,3,2.8846406497598878,1.262985914243541,96.15468832532957,0.15896363636363636,11
Async_Collectives,4,3.1339092935785087,0.7223748411991163,78.34773233946272,0.0856,11
Async_Collectives,5,3.0512841173203493,1.0811177493954562,61.02568234640698,0.09469090909090908,11
Async_Collectives,6,3.0702662494104227,0.43283224377937124,51.17110415684037,0.07347272727272727,11
Async_Collectives,7,3.4398665074705077,0.8790350533694969,49.14095010672154,0.08906363636363636,11
Async_Collectives,8,4.073705057925846,1.0738102935558196,50.92131322407307,0.06495454545454545,11
Isend/Irecv,1,1.0,0.0,100.0,0.2241818181818182,11
Isend/Irecv,2,1.718103924490409,1.007434703180692,85.90519622452045,0.3433727272727273,11
Isend/Irecv,3,2.913786919150365,1.2362515665996672,97.12623063834553,0.16039090909090908,11
Isend/Irecv,4,3.17699574220766,0.8028829855155222,79.4248935551915,0.08824545454545456,11
Isend/Irecv,5,3.0696277613467826,1.048987309305221,61.392555226935656,0.09383636363636363,11
Isend/Irecv,6,3.467895140171271,1.6180829949599937,57.79825233618786,0.07338181818181819,11
Isend/Irecv,7,3.492439328396169,0.9351814610367687,49.89199040565956,0.0808909090909091,11
Isend/Irecv,8,3.8997687294516648,1.2107434064513993,48.7471091181458,0.06399090909090908,11
MPI_Bcast+Reduce,1,1.0,0.0,100.0,0.22841818181818183,11
MPI_Bcast+Reduce,2,1.5239234336628427,0.7961317179918009,76.19617168314211,0.34718181818181815,11
MPI_Bcast+Reduce,3,2.7114307763137444,1.1105116373712929,90.38102587712483,0.1658090909090909,11
MPI_Bcast+Reduce,4,3.2491030027172187,0.5717771565947353,81.22757506793046,0.06700909090909091,11
MPI_Bcast+Reduce,5,2.997562209064327,0.7837225428419073,59.95124418128653,0.0749909090909091,11
MPI_Bcast+Reduce,6,2.9703159253535474,0.5469537078923228,49.50526542255911,0.07964545454545456,11
MPI_Bcast+Reduce,7,3.6239094387074626,0.9074465630097287,51.770134838678025,0.05881818181818182,11
MPI_Bcast+Reduce,8,4.348292180083697,1.3571863179709984,54.35365225104622,0.05069090909090909,11
Pipelined,1,1.0,0.0,100.0,0.2216181818181818,11
Pipelined,2,1.5650968304245232,0.8445819429242111,78.25484152122614,0.3597454545454545,11
Pipelined,3,3.0521053740943644,0.9792580247183914,101.73684580314548,0.07241818181818181,11
Pipelined,4,3.1702477860790865,1.0924855654474999,79.25619465197717,0.12236363636363637,11
Pipelined,5,2.766529514411313,0.941880148544987,55.33059028822627,0.10393636363636363,11
Pipelined,6,3.127896720150983,1.280308652560312,52.13161200251639,0.08162727272727273,11
Pipelined,7,3.3672462628920226,0.8114595944622618,48.10351804131461,0.08432727272727275,11
Pipelined,8,4.015100446453611,1.1685187268528392,50.18875558067014,0.06653636363636363,11
Ring_Reduce,1,1.0,0.0,100.0,0.22053636363636364,11
Ring_Reduce,2,1.887022397069944,0.6352207569720686,94.35111985349718,0.23866363636363638,11
Ring_Reduce,3,3.034203853928729,0.9936401458767241,101.14012846429095,0.07252727272727272,11
Ring_Reduce,4,3.054399552268082,0.8867544947531923,76.35998880670205,0.12060909090909089,11
Ring_Reduce,5,2.743819490784773,0.9775474072364525,54.87638981569548,0.10378181818181818,11
Ring_Reduce,6,2.9463436768702995,0.7399238823274447,49.105727947838325,0.08085454545454546,11
Ring_Reduce,7,3.382707285446705,0.8325914898035383,48.324389792095786,0.08710909090909091,11
Ring_Reduce,8,4.2263192609533595,1.1004270062327575,52.82899076191698,0.04818181818181819,11
