matrix,rows,cols,density_pct,threads,speedup_x,serial_ms,parallel_ms,exit_code,notes
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,16,78.45,47.187493,0.601536,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,18,74.26,47.188471,0.635490,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,20,70.59,47.461110,0.672362,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,22,67.96,47.807371,0.703443,0,""
"matrices/6k_6p3.mtx",6001,6001,6.30zero entries,24,88.22,47.464073,0.538044,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,2,197.95,95.738427,0.483651,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,4,259.53,95.760883,0.368980,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,8,326.58,96.001506,0.293964,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,12,378.56,95.898150,0.253324,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,16,372.55,95.879280,0.257360,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,18,407.60,95.850943,0.235159,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,20,392.90,95.977147,0.244282,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,22,407.37,95.960181,0.235558,0,""
"matrices/9k_0p77.mtx",8738,8738,0.78zero entries,24,376.59,96.276858,0.255653,0,""
