num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,iterations,notes
128,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,MPI_Bcast+Gatherv,5082.5343,178.2506,4886.9495,5511.9593,5135.3497,0.6248,1.0000,0.78,10,""
128,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,Ibcast+Overlap,9131.8544,161.9961,8906.0664,9331.3193,9115.3009,9.3020,0.5566,0.43,10,""
2,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,1354.4807,13.3047,1348.1188,1378.0406,1269.7195,91.0809,1.0000,50.00,10,""
2,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,1351.9993,9.5614,1346.0412,1379.9598,1267.1958,87.5004,1.0018,50.09,10,""
4,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,2289.9911,80.3973,2106.0777,2406.1148,2234.3571,54.0505,1.0000,25.00,10,""
4,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,2618.9473,378.9900,2262.9974,3163.9993,2640.7707,43.0188,0.8744,21.86,10,""
8,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,2761.4645,89.2607,2624.2661,2910.9356,2699.9548,47.6521,1.0000,12.50,10,""
8,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,2855.5026,196.3808,2562.9234,3142.1568,2778.0072,49.5013,0.9671,12.09,10,""
16,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,5107.3233,91.4080,5050.8699,5308.9230,5077.2935,57.8048,1.0000,6.25,10,""
16,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,6050.9229,452.6783,5884.9280,6979.0363,6220.2983,58.1217,0.8441,5.28,10,""
